prefix_1,prefix_2,prefix_3,stem,suffix_1,suffix_2,suffix_3,full_word
,,የ,ግድያ,,,,የግድያ
,,በ,ግድያ,,,,በግድያ
,,ከ,ግድያ,,,,ከግድያ
,,ስለ,ግድያ,,,,ስለግድያ
,,የ,ግድያ,ን,,,የግድያን
,,የ,ግድያ,ም,,,የግድያም
,,የ,ግድያ,ስ,,,የግድያስ
,,በ,ግድያ,ም,,,በግድያም
,,በ,ግድያ,ስ,,,በግድያስ
,,ከ,ግድያ,ም,,,ከግድያም
,,ከ,ግድያ,ስ,,,ከግድያስ
,,ስለ,ግድያ,ም,,,ስለግድያም
,,ስለ,ግድያ,ስ,,,ስለግድያስ
,,የ,ግድያ,ኤ,ም,,የግድያኤም
,,የ,ግድያ,ኤ,ስ,,የግድያኤስ
,,የ,ግድያ,አችን,ም,,የግድያአችንም
,,የ,ግድያ,አችን,ስ,,የግድያአችንስ
,,የ,ግድያ,ህ,ም,,የግድያህም
,,የ,ግድያ,ህ,ስ,,የግድያህስ
,,የ,ግድያ,ሽ,ም,,የግድያሽም
,,የ,ግድያ,ሽ,ስ,,የግድያሽስ
,,የ,ግድያ,አችሁ,ም,,የግድያአችሁም
,,የ,ግድያ,አችሁ,ስ,,የግድያአችሁስ
,,የ,ግድያ,ው,ም,,የግድያውም
,,የ,ግድያ,ው,ስ,,የግድያውስ
,,የ,ግድያ,ዋ,ም,,የግድያዋም
,,የ,ግድያ,ዋ,ስ,,የግድያዋስ
,,የ,ግድያ,አቸው,ም,,የግድያአቸውም
,,የ,ግድያ,አቸው,ስ,,የግድያአቸውስ
,,በ,ግድያ,ኤ,ም,,በግድያኤም
,,በ,ግድያ,ኤ,ስ,,በግድያኤስ
,,በ,ግድያ,አችን,ም,,በግድያአችንም
,,በ,ግድያ,አችን,ስ,,በግድያአችንስ
,,በ,ግድያ,ህ,ም,,በግድያህም
,,በ,ግድያ,ህ,ስ,,በግድያህስ
,,በ,ግድያ,ሽ,ም,,በግድያሽም
,,በ,ግድያ,ሽ,ስ,,በግድያሽስ
,,በ,ግድያ,አችሁ,ም,,በግድያአችሁም
,,በ,ግድያ,አችሁ,ስ,,በግድያአችሁስ
,,በ,ግድያ,ው,ም,,በግድያውም
,,በ,ግድያ,ው,ስ,,በግድያውስ
,,በ,ግድያ,ዋ,ም,,በግድያዋም
,,በ,ግድያ,ዋ,ስ,,በግድያዋስ
,,በ,ግድያ,አቸው,ም,,በግድያአቸውም
,,በ,ግድያ,አቸው,ስ,,በግድያአቸውስ
,,ከ,ግድያ,ኤ,ም,,ከግድያኤም
,,ከ,ግድያ,ኤ,ስ,,ከግድያኤስ
,,ከ,ግድያ,አችን,ም,,ከግድያአችንም
,,ከ,ግድያ,አችን,ስ,,ከግድያአችንስ
,,ከ,ግድያ,ህ,ም,,ከግድያህም
,,ከ,ግድያ,ህ,ስ,,ከግድያህስ
,,ከ,ግድያ,ሽ,ም,,ከግድያሽም
,,ከ,ግድያ,ሽ,ስ,,ከግድያሽስ
,,ከ,ግድያ,አችሁ,ም,,ከግድያአችሁም
,,ከ,ግድያ,አችሁ,ስ,,ከግድያአችሁስ
,,ከ,ግድያ,ው,ም,,ከግድያውም
,,ከ,ግድያ,ው,ስ,,ከግድያውስ
,,ከ,ግድያ,ዋ,ም,,ከግድያዋም
,,ከ,ግድያ,ዋ,ስ,,ከግድያዋስ
,,ከ,ግድያ,አቸው,ም,,ከግድያአቸውም
,,ከ,ግድያ,አቸው,ስ,,ከግድያአቸውስ
,,ስለ,ግድያ,ኤ,ም,,ስለግድያኤም
,,ስለ,ግድያ,ኤ,ስ,,ስለግድያኤስ
,,ስለ,ግድያ,አችን,ም,,ስለግድያአችንም
,,ስለ,ግድያ,አችን,ስ,,ስለግድያአችንስ
,,ስለ,ግድያ,ህ,ም,,ስለግድያህም
,,ስለ,ግድያ,ህ,ስ,,ስለግድያህስ
,,ስለ,ግድያ,ሽ,ም,,ስለግድያሽም
,,ስለ,ግድያ,ሽ,ስ,,ስለግድያሽስ
,,ስለ,ግድያ,አችሁ,ም,,ስለግድያአችሁም
,,ስለ,ግድያ,አችሁ,ስ,,ስለግድያአችሁስ
,,ስለ,ግድያ,ው,ም,,ስለግድያውም
,,ስለ,ግድያ,ው,ስ,,ስለግድያውስ
,,ስለ,ግድያ,ዋ,ም,,ስለግድያዋም
,,ስለ,ግድያ,ዋ,ስ,,ስለግድያዋስ
,,ስለ,ግድያ,አቸው,ም,,ስለግድያአቸውም
,,ስለ,ግድያ,አቸው,ስ,,ስለግድያአቸውስ
,,የ,ግድያ,ኤ,ን,,የግድያኤን
,,የ,ግድያ,አችን,ን,,የግድያአችንን
,,የ,ግድያ,ህ,ን,,የግድያህን
,,የ,ግድያ,ሽ,ን,,የግድያሽን
,,የ,ግድያ,አችሁ,ን,,የግድያአችሁን
,,የ,ግድያ,ው,ን,,የግድያውን
,,የ,ግድያ,ዋ,ን,,የግድያዋን
,,የ,ግድያ,አቸው,ን,,የግድያአቸውን
,,የ,ገዳይ,ም,,,የገዳይም
,,የ,ገዳይ,ስ,,,የገዳይስ
,,በ,ገዳይ,ም,,,በገዳይም
,,በ,ገዳይ,ስ,,,በገዳይስ
,,ከ,ገዳይ,ም,,,ከገዳይም
,,ከ,ገዳይ,ስ,,,ከገዳይስ
,,ስለ,ገዳይ,ም,,,ስለገዳይም
